Datetime,Water Level (m)
2023-05-18 12:00:00,0.34763536
2023-05-18 13:00:00,0.428497
2023-05-18 14:00:00,0.4467028
2023-05-18 15:00:00,0.40270138
2023-05-18 16:00:00,0.32406452
2023-05-18 17:00:00,0.23284286
2023-05-18 18:00:00,0.14625435
2023-05-18 19:00:00,0.07597428
2023-05-18 20:00:00,0.056323078
2023-05-18 21:00:00,0.089494236
2023-05-18 22:00:00,0.18876363
2023-05-18 23:00:00,0.30828425
2023-05-19 00:00:00,0.41352776
2023-05-19 01:00:00,0.47738877
2023-05-19 02:00:00,0.48325968
2023-05-19 03:00:00,0.4317885
2023-05-19 04:00:00,0.34871727
2023-05-19 05:00:00,0.25553083
2023-05-19 06:00:00,0.1669651
2023-05-19 07:00:00,0.09574929
2023-05-19 08:00:00,0.07121587
2023-05-19 09:00:00,0.1129641
2023-05-19 10:00:00,0.22731844
2023-05-19 11:00:00,0.37298572
2023-05-19 12:00:00,0.51441574
2023-05-19 13:00:00,0.6310648
2023-05-19 14:00:00,0.68541473
2023-05-19 15:00:00,0.6670396
2023-05-19 16:00:00,0.5945075
2023-05-19 17:00:00,0.49893034
2023-05-19 18:00:00,0.39472562
2023-05-19 19:00:00,0.2962649
2023-05-19 20:00:00,0.22663374
2023-05-19 21:00:00,0.21059686
2023-05-19 22:00:00,0.25286645
2023-05-19 23:00:00,0.36291987
2023-05-20 00:00:00,0.46973917
2023-05-20 01:00:00,0.5479065
2023-05-20 02:00:00,0.579005
2023-05-20 03:00:00,0.5488397
2023-05-20 04:00:00,0.47719896
2023-05-20 05:00:00,0.38990268
2023-05-20 06:00:00,0.29822665
2023-05-20 07:00:00,0.21349782
2023-05-20 08:00:00,0.15603046
2023-05-20 09:00:00,0.15787832
2023-05-20 10:00:00,0.22309817
2023-05-20 11:00:00,0.36028677
2023-05-20 12:00:00,0.5074906
2023-05-20 13:00:00,0.649807
2023-05-20 14:00:00,0.7520293
2023-05-20 15:00:00,0.7814185
2023-05-20 16:00:00,0.7297671
2023-05-20 17:00:00,0.6409111
2023-05-20 18:00:00,0.5377576
2023-05-20 19:00:00,0.43397152
2023-05-20 20:00:00,0.34061894
2023-05-20 21:00:00,0.2895827
2023-05-20 22:00:00,0.29291818
2023-05-20 23:00:00,0.3598248
2023-05-21 00:00:00,0.46526507
2023-05-21 01:00:00,0.5578434
2023-05-21 02:00:00,0.61181444
2023-05-21 03:00:00,0.6136176
2023-05-21 04:00:00,0.5587436
2023-05-21 05:00:00,0.48076922
2023-05-21 06:00:00,0.39151433
2023-05-21 07:00:00,0.301365
2023-05-21 08:00:00,0.22415748
2023-05-21 09:00:00,0.19016436
2023-05-21 10:00:00,0.21371177
2023-05-21 11:00:00,0.31150934
2023-05-21 12:00:00,0.45123678
2023-05-21 13:00:00,0.5940643
2023-05-21 14:00:00,0.716335
2023-05-21 15:00:00,0.783259
2023-05-21 16:00:00,0.7647974
2023-05-21 17:00:00,0.69278514
2023-05-21 18:00:00,0.59893966
2023-05-21 19:00:00,0.4978162
2023-05-21 20:00:00,0.39751682
2023-05-21 21:00:00,0.31800446
2023-05-21 22:00:00,0.2859439
2023-05-21 23:00:00,0.3032139
2023-05-22 00:00:00,0.38736388
2023-05-22 01:00:00,0.48652342
2023-05-22 02:00:00,0.563155
2023-05-22 03:00:00,0.59666413
2023-05-22 04:00:00,0.5765178
2023-05-22 05:00:00,0.513991
2023-05-22 06:00:00,0.4362383
2023-05-22 07:00:00,0.3494458
2023-05-22 08:00:00,0.26970854
2023-05-22 09:00:00,0.21835344
2023-05-22 10:00:00,0.2177508
2023-05-22 11:00:00,0.2728067
2023-05-22 12:00:00,0.400668
2023-05-22 13:00:00,0.540569
2023-05-22 14:00:00,0.6759346
2023-05-22 15:00:00,0.7725567
2023-05-22 16:00:00,0.80139685
2023-05-22 17:00:00,0.75083274
2023-05-22 18:00:00,0.6677298
2023-05-22 19:00:00,0.5717735
2023-05-22 20:00:00,0.473869
2023-05-22 21:00:00,0.3812205
2023-05-22 22:00:00,0.32297468
2023-05-22 23:00:00,0.309587
2023-05-23 00:00:00,0.34555095
2023-05-23 01:00:00,0.43851048
2023-05-23 02:00:00,0.52280486
2023-05-23 03:00:00,0.5764379
2023-05-23 04:00:00,0.5875879
2023-05-23 05:00:00,0.5472186
2023-05-23 06:00:00,0.4805408
2023-05-23 07:00:00,0.40137637
2023-05-23 08:00:00,0.31981012
2023-05-23 09:00:00,0.25509644
2023-05-23 10:00:00,0.23341875
2023-05-23 11:00:00,0.25678116
2023-05-23 12:00:00,0.34864306
2023-05-23 13:00:00,0.47699818
2023-05-23 14:00:00,0.6124491
2023-05-23 15:00:00,0.7304686
2023-05-23 16:00:00,0.80101377
2023-05-23 17:00:00,0.7952568
2023-05-23 18:00:00,0.7282154
2023-05-23 19:00:00,0.6420764
2023-05-23 20:00:00,0.5475794
2023-05-23 21:00:00,0.45423174
2023-05-23 22:00:00,0.37777334
2023-05-23 23:00:00,0.34163576
2023-05-24 00:00:00,0.34700015
2023-05-24 01:00:00,0.40942192
2023-05-24 02:00:00,0.49640214
2023-05-24 03:00:00,0.5661763
2023-05-24 04:00:00,0.6016867
2023-05-24 05:00:00,0.597211
2023-05-24 06:00:00,0.54856974
2023-05-24 07:00:00,0.48084518
2023-05-24 08:00:00,0.40316603
2023-05-24 09:00:00,0.3292283
2023-05-24 10:00:00,0.28440192
2023-05-24 11:00:00,0.2808781
2023-05-24 12:00:00,0.32935548
